Prix,Surface,Arrondissement,Pieces,DPE,Prix m2,Surface par pieces,Estimation,Decote
1267.0,68.0,1,1,5,18.63235294117647,68.0,2278.4939830634853,-44.393094323800206
800.0,34.0,10,2,4,23.529411764705884,17.0,1438.4458982812555,-44.38442203798629
922.0,26.0,12,1,4,35.46153846153846,26.0,1371.8262121645728,-32.79032053592287
940.0,37.0,18,2,4,25.405405405405407,18.5,1366.6902569381075,-31.220699406612567
1290.0,53.0,20,3,2,24.339622641509433,17.666666666666668,1827.8296525726987,-29.424495429084164
420.0,11.0,9,1,7,38.18181818181818,11.0,595.0633201384921,-29.419275934828036
950.0,32.0,20,2,3,29.6875,16.0,1302.6273045391422,-27.07046776237341
968.0,25.0,17,1,4,38.72,25.0,1309.6489836161586,-26.087065151824802
1088.0,36.0,12,2,3,30.22222222222222,18.0,1440.8684950634354,-24.489986162678925
1780.0,54.0,15,2,3,32.96296296296296,27.0,2305.126158939454,-22.780799085680187
1370.0,47.0,19,2,5,29.148936170212767,23.5,1770.0080059895238,-22.599220152447792
1890.0,90.0,11,3,5,21.0,30.0,2437.820894964482,-22.47174499554297
1200.0,41.0,8,2,5,29.26829268292683,20.5,1542.7251079634887,-22.21556557252842
750.0,16.0,15,1,3,46.875,16.0,939.7734089355142,-20.193528262357567
710.0,17.0,11,1,3,41.76470588235294,17.0,886.6655217174024,-19.92470862915871
700.0,18.0,20,1,6,38.888888888888886,18.0,870.4658469878696,-19.583289519944266
1150.0,30.0,16,1,4,38.333333333333336,30.0,1411.9026810460864,-18.549627007722748
1200.0,33.0,14,1,4,36.36363636363637,33.0,1468.1606597632936,-18.265075962907776
950.0,27.0,18,1,3,35.18518518518518,27.0,1131.8227663058071,-16.06459701276944
1450.0,45.0,19,2,4,32.22222222222222,22.5,1726.9482294932109,-16.03685766390831
860.0,22.0,18,1,3,39.09090909090909,22.0,1022.0482097487446,-15.855241289310781
1690.0,48.0,16,3,3,35.208333333333336,16.0,2004.0581690274935,-15.671110443859822
807.0,20.0,15,1,2,40.35,20.0,956.2458088517071,-15.607473253234607
1270.0,40.0,15,2,4,31.75,20.0,1497.7474156728374,-15.20599623739132
